drifter,asset_id,device_type,device_sn,sensor_position
1,DRIFTER_01,spot,0-4466053,NA
1,DRIFTER_01,aquatroll,811761,NA
1,DRIFTER_01,pme,7377-508290,top
2,DRIFTER_02,spot,0-4466528,NA
2,DRIFTER_02,aquatroll,461051,NA
2,DRIFTER_02,pme,7377-105177,top
3,DRIFTER_03,spot,0-4473082,NA
3,DRIFTER_03,aquatroll,461132,NA
3,DRIFTER_03,pme,7377-574061,top
4,DRIFTER_04,spot,0-4466219,NA
4,DRIFTER_04,aquatroll,811737,NA
4,DRIFTER_04,pme,7377-757751,top
5,Drifter_05,spot,0-4473073,NA
5,Drifter_05,aquatroll,788735,NA
5,Drifter_05,pme,7377-437967,top
6,Drifter_06,spot,0-4472187,NA
6,Drifter_06,pme,7377-419653,top
6,Drifter_06,pme,7377-649171,bottom
7,Drifter_07,spot,0-4472663,NA
7,Drifter_07,pme,7377-228633,top
7,Drifter_07,pme,7377-544710,bottom
8,Drifter_08,spot,0-4473085,NA
8,Drifter_08,pme,7377-243312,top
8,Drifter_08,pme,7377-522022,bottom